TBLID,GEOID,GEONAME,PROFTBL,PROFLN,TITLE,EST_19,EST_18,SIG90_19_18,EST_17,SIG90_19_17,EST_16,SIG90_19_16,EST_15,SIG90_19_15
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,139,Polish,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,140,Portuguese,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,141,Russian,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,142,Scotch-Irish,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,143,Scottish,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,144,Slovak,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,145,Subsaharan African,N,N,,N,,N,,0.1%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,146,Swedish,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,147,Swiss,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,148,Ukrainian,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,149,Welsh,N,N,,N,,N,,0.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,150,West Indian (excluding Hispanic origin groups),N,N,,N,,N,,0.1%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,150.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,150.5,COMPUTERS AND INTERNET USE,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,151,Total households,"1,170,982","1,179,637",,"1,191,305",*,"1,208,438",*,(X),
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,152,With a computer,76.3%,71.6%,*,69.2%,*,67.4%,*,(X),
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,153,With a broadband Internet subscription,68.2%,62.2%,*,60.9%,*,59.3%,*,(X),
